[UNK]
TOOLBAR_webApp-id=webApp
TOOLBAR_spreadApp-id=spreadApp
NEXT_INQUIRY-REQUEST
START
END
SUBMIT_complete-id=u03_default_txt14
COMBOBOX-id=menulist|9
KEYPRESS
CD_SORT_ok-id=sortValidation
COMBOBOX-id=sortablecol1|3
TOOLBAR_help-id=toolbar_help_btn
COMBOBOX-id=menulist|4
TOOLBAR_ss-sort-id=ss-sort
END_CANCEL-id=endtask_txt4
TOOLBAR_splitVertical-id=splitVertical
TOOLBAR_home-id=toolbar_home_btn
TOOLBAR_find-id=toolbar_find_btn
TOOLBAR_splitHorizontal-id=splitHorizontal
TOOLBAR_next-id=toolbar_forward_btn
MENU-id=file-menu
GET_HELP-REQUEST
TOOLBAR_bookmark-add-id=toolbar_bkm_btn
TOOLBAR_back-id=toolbar_back_btn
MENUITEM_sort-key=sort
MENU-id=ss-data-menu
COMBOBOX-id=menulist|8
RADIO_BTN-id=priority1asc
CD_FIND_ok-id=spread-search-btn
COMBOBOX-id=menulist|1
TOOLBAR_spread-search-next-id=spread-search-next-btn
MENU-id=ss-file-menu
COMBOBOX-id=menulist|3
TEXTBOX_ONFOCUS-id=searchtfield|
MENU-id=wb-help-menu
COMBOBOX-id=menulist|2
TOOLBAR_ss-find-id=ss-find
ADD_BOOKMARK_cancel-id=add_bookmark_cancel
MENU-id=wb-edit-menu
COMBOBOX-id=menulist|6
MENU-id=ss-edit-menu
MENU-id=wb-bookmarks-menu
COMBOBOX-id=menulist|5
COMBOBOX-id=menulist|26
COMBOBOX-id=sortablecol2|3
TEXTBOX_KILLFOCUS-id=searchtfield|blues
COMBOBOX-id=menulist|7
COMBOBOX-id=sortablecol3|3
RADIO_BTN-id=priority1desc
COMBOBOX-id=menulist|10
RADIO_BTN-id=priority3asc
MENUITEM_find-key=find
RADIO_BTN-id=priority2asc
MENUITEM_help-key=help
COMBOBOX-id=menulist|11
TOOLBAR_spread-search-previous-id=spread-search-previous-btn
SAVE_close-popup1_txt2
TEXTBOX_KILLFOCUS-id=searchtfield|3003
TOOLBAR_ss-save-id=ss-save
CD_SORT_cancel-id=sortCancel
MENUITEM_bookmark-manage-key=bookmark-manage
TOOLBAR_ss-help-id=ss-help
ADD_BOOKMARK_ok-id=add_bookmark_validation
