[UNK]
TAB-tabbutton1
TAB-tabbutton2
BUTTON_submit-pg2_txt33
BUTTON_submit_ok-u21p2pu5_txt2
NEXT_INQUIRY-REQUEST
START
END
BUTTON_available-pg1_txt47
BUTTON_search-default_txt23
CHECKBOX-check2
COMBOBOX-default_menu2.index=2
COMBOBOX-default_menu1.index=7
CHECKBOX-check3
CHECKBOX-check9
CHECKBOX-check11
COMBOBOX-pg2_menu1.index=8
COMBOBOX-pg2_menu6.index=8
BUTTON_available-pg7_txt47
COMBOBOX-pg2_menu1.index=9
BUTTON_close-popup2_txt4
COMBOBOX-pg2_menu6.index=9
TOOLBAR-toolbar_back_btn
TEXTLINK-default_txt6.href=unit21page4.target=self
CHECKBOX-check5
CHECKBOX-check8
BUTTON_search-pg4_txt23
COMBOBOX-pg2_menu4.index=8
COMBOBOX-pg4_menu2.index=2
COMBOBOX-pg2_menu3.index=8
TEXTLINK-pg4_txt44.href=unit21page1.target=self
BUTTON_close-popup1_txt4
TOOLBAR-splitVertical
COMBOBOX-pg4_menu1.index=7
COMBOBOX-pg2_menu4.index=9
TOOLBAR-webApp
COMBOBOX-pg2_menu3.index=9
COMBOBOX-pg2_menu1.index=0
KEYPRESS
END_CANCEL-endunit_txt4
TOOLBAR-splitHorizontal
COMBOBOX-pg2_menu2.index=0
CHECKBOX-check4
BUTTON_close-popup4_txt3
COMBOBOX-default_menu1.index=8
COMBOBOX-pg2_menu2.index=8
TOOLBAR-toolbar_forward_btn
COMBOBOX-pg2_menu5.index=0
CHECKBOX-check1
CHECKBOX-check10
TEXTLINK-pg4_txt4.href=unit21default.target=self
COMBOBOX-pg2_menu5.index=8
CHECKBOX-check6
COMBOBOX-default_menu1.index=1
BUTTON_submit_cacel-u21p2pu5_txt3
BOX_PRESS-action=as://switchStateButton(u021_default_form1a,unit21page6,u021_default_popup2)
COMBOBOX-pg2_menu4.index=0
COMBOBOX-pg2_menu2.index=9
COMBOBOX-pg2_menu1.index=4
COMBOBOX-default_menu2.index=1
COMBOBOX-pg2_menu6.index=0
COMBOBOX-pg2_menu3.index=0
TOOLBAR-toolbar_home_btn
COMBOBOX-pg4_menu1.index=8
COMBOBOX-pg2_menu6.index=2
TEXTLINK-pg4_txt46.href=unit21page6.target=self
COMBOBOX-pg2_menu1.index=2
COMBOBOX-default_menu1.index=2
TOOLBAR-toolbar_bkm_btn
GET_HELP-REQUEST
COMBOBOX-pg2_menu4.index=6
COMBOBOX-default_menu1.index=3
COMBOBOX-pg2_menu5.index=9
COMBOBOX-pg2_menu3.index=5
COMBOBOX-pg2_menu3.index=4
COMBOBOX-default_menu2.index=3
COMBOBOX-pg2_menu4.index=2
COMBOBOX-pg2_menu3.index=3
COMBOBOX-default_menu1.index=6
TEXTLINK-pg2_txt2.href=unit21default.target=self
TEXTBOX_ONFOCUS-u21p2pu5_txt1.value=Are_you_sure_you_want_to_make_this_reservation?
TEXTBOX_KILLFOCUS-u21p2pu5_txt1.value=Are_you_sure_you_want_to_make_this_reservation?
COMBOBOX-pg2_menu1.index=1
MENU-file-menu
COMBOBOX-pg2_menu4.index=4
COMBOBOX-pg2_menu1.index=3
TOOLBAR-toolbar_help_btn
TEXTLINK-pg4_txt32.href=unit21page6.target=self
TEXTLINK-pg4_txt28.href=unit21page6.target=self
COMBOBOX-pg2_menu6.index=1
COMBOBOX-pg2_menu4.index=3
COMBOBOX-pg2_menu3.index=2
COMBOBOX-pg2_menu1.index=10
BOX_PRESS-action=as://switchStateButton(u021_pg4_form1b,unit21page6,u021_pg4_popup2)
BOX_PRESS-action=as://switchStateButton(u021_pg4_form1a,unit21page6,u021_pg4_popup2)
TEXTLINK-pg4_txt45.href=unit21page6.target=self
TEXTLINK-pg4_txt40.href=unit21page6.target=self
TEXTBOX_ONFOCUS-popup1_txt2.value=No_information_has_been_selected_or_no_events_match_these_choices.
TEXTBOX_KILLFOCUS-popup1_txt2.value=No_information_has_been_selected_or_no_events_match_these_choices.
COMBOBOX-pg2_menu6.index=4
COMBOBOX-default_menu1.index=10
CHECKBOX-check7
TOOLBAR-toolbar_find_btn
TEXTLINK-pg4_txt42.href=unit21page6.target=self
TEXTLINK-pg1_txt2.href=unit21default.target=self
MENU-wb-edit-menu
COMBOBOX-pg2_menu6.index=3
COMBOBOX-pg2_menu3.index=6
TEXTLINK-pg7_txt2.href=unit21default.target=self
TEXTLINK-pg1_txt3.href=unit21page6.target=self
MENU-wb-bookmarks-menu
COMBOBOX-pg4_menu2.index=1
COMBOBOX-pg4_menu1.index=6
COMBOBOX-pg2_menu5.index=4
COMBOBOX-pg2_menu4.index=10
COMBOBOX-pg2_menu4.index=1
COMBOBOX-pg2_menu3.index=1
COMBOBOX-pg2_menu1.index=7
COMBOBOX-default_menu2.index=6
COMBOBOX-default_menu1.index=4
BOX_PRESS-action=as://switchStateButton(u021_default_form1b,unit21page6,u021_default_popup2)
TEXTLINK-pg7_txt5.href=unit21page6.target=self
TEXTLINK-pg7_txt3.href=unit21page6.target=self
TEXTLINK-pg4_txt36.href=unit21page6.target=self
TEXTLINK-pg4_txt31.href=unit21page6.target=self
